Title,Season,Episode Number,Rating,Rating count
Pilot,1,1,9.0,(47K)
Cat's in the Bag...,1,2,8.6,(34K)
...And the Bag's in the River,1,3,8.7,(33K)
Cancer Man,1,4,8.2,(31K)
Gray Matter,1,5,8.3,(31K)
Crazy Handful of Nothin',1,6,9.3,(36K)
A No-Rough-Stuff-Type Deal,1,7,8.8,(32K)
Seven Thirty-Seven,2,1,8.6,(29K)
Grilled,2,2,9.3,(33K)
Bit by a Dead Bee,2,3,8.3,(27K)
Down,2,4,8.2,(28K)
Breakage,2,5,8.2,(27K)
Peekaboo,2,6,8.8,(29K)
Negro y Azul,2,7,8.6,(27K)
Better Call Saul,2,8,9.2,(32K)
4 Days Out,2,9,9.1,(31K)
Over,2,10,8.4,(26K)
Mandala,2,11,8.9,(27K)
Phoenix,2,12,9.3,(31K)
ABQ,2,13,9.2,(30K)
No Más,3,1,8.5,(26K)
Caballo sin Nombre,3,2,8.6,(25K)
I.F.T.,3,3,8.4,(25K)
Green Light,3,4,8.2,(25K)
Más,3,5,8.5,(25K)
Sunset,3,6,9.3,(29K)
One Minute,3,7,9.6,(35K)
I See You,3,8,8.7,(25K)
Kafkaesque,3,9,8.4,(25K)
Fly,3,10,7.9,(45K)
Abiquiu,3,11,8.4,(25K)
Half Measures,3,12,9.5,(35K)
Full Measure,3,13,9.7,(39K)
Box Cutter,4,1,9.2,(31K)
Thirty-Eight Snub,4,2,8.2,(26K)
Open House,4,3,8.0,(26K)
Bullet Points,4,4,8.5,(25K)
Shotgun,4,5,8.6,(25K)
Cornered,4,6,8.4,(25K)
Problem Dog,4,7,8.8,(26K)
Hermanos,4,8,9.3,(29K)
Bug,4,9,8.9,(26K)
Salud,4,10,9.6,(37K)
Crawl Space,4,11,9.7,(43K)
End Times,4,12,9.5,(33K)
Face Off,4,13,9.9,(79K)
Live Free or Die,5,1,9.2,(34K)
Madrigal,5,2,8.8,(30K)
Hazard Pay,5,3,8.8,(29K)
Fifty-One,5,4,8.8,(29K)
Dead Freight,5,5,9.7,(43K)
Buyout,5,6,9.0,(30K)
Say My Name,5,7,9.6,(39K)
Gliding Over All,5,8,9.6,(38K)
Blood Money,5,9,9.4,(36K)
Buried,5,10,9.2,(32K)
Confessions,5,11,9.6,(39K)
Rabid Dog,5,12,9.1,(34K)
To'hajiilee,5,13,9.8,(58K)
Ozymandias,5,14,10,(227K)
Granite State,5,15,9.7,(57K)
Felina,5,16,9.9,(146K)
